greenhouse gas emissions,Land use, land-use change, and forestry,{'weight': 1, 'link_text': 'land use change', 'title': 'Land use, land-use change, and forestry'}
greenhouse gas emissions,Land-use change,{'weight': 1, 'link_text': 'Land-use change', 'title': 'Land-use change'}
Green Sahara,Glacier,{'weight': 1, 'link_text': 'glaciers', 'title': 'Glacier'}
Green Sahara,Last Glacial Maximum,{'weight': 1, 'link_text': 'Last Glacial Maximum', 'title': 'Last Glacial Maximum'}
Green Sahara,Holocene,{'weight': 1, 'link_text': 'Holocene', 'title': 'Holocene'}
Green Sahara,Sahara,{'weight': 1, 'link_text': 'Sahara', 'title': 'Sahara'}
Green Sahara,Pleistocene,{'weight': 1, 'link_text': 'Pleistocene', 'title': 'Pleistocene'}
Green Sahara,Sahel,{'weight': 1, 'link_text': 'Sahel', 'title': 'Sahel'}
Climate Change,Climate variability and change,{'weight': 1, 'link_text': 'Climate change in a broader sense', 'title': 'Climate variability and change'}
Climate Change,Climate system,{'weight': 1, 'link_text': "Earth's climate", 'title': 'Climate system'}
Climate Change,Global surface temperature,{'weight': 1, 'link_text': 'global average temperature', 'title': 'Global surface temperature'}
Climate Change,Scientific consensus on climate change,{'weight': 1, 'link_text': 'driven by human activities', 'title': 'Scientific consensus on climate change'}
Climate Change,Fossil fuel,{'weight': 1, 'link_text': 'fossil fuel', 'title': 'Fossil fuel'}
Climate Change,Industrial Revolution,{'weight': 1, 'link_text': 'Industrial Revolution', 'title': 'Industrial Revolution'}
Climate Change,Deforestation and climate change,{'weight': 1, 'link_text': 'deforestation', 'title': 'Deforestation and climate change'}
Climate Change,Greenhouse gas emissions from agriculture,{'weight': 1, 'link_text': 'agricultural', 'title': 'Greenhouse gas emissions from agriculture'}
Climate Change,Environmental impact of concrete,{'weight': 1, 'link_text': 'industrial', 'title': 'Environmental impact of concrete'}
Climate Change,Greenhouse effect,{'weight': 1, 'link_text': 'absorb some of the heat', 'title': 'Greenhouse effect'}
Climate Change,Thermal radiation,{'weight': 1, 'link_text': 'radiates', 'title': 'Thermal radiation'}
Climate Change,Sunlight,{'weight': 1, 'link_text': 'sunlight', 'title': 'Sunlight'}
Climate Change,Carbon dioxide,{'weight': 1, 'link_text': 'Carbon dioxide', 'title': 'Carbon dioxide'}
Climate Change,Carbon dioxide in Earth%27s atmosphere,{'weight': 1, 'link_text': 'has grown by about 50%', 'title': "Carbon dioxide in Earth's atmosphere"}
climate warming,Climate variability and change,{'weight': 1, 'link_text': 'Climate change in a broader sense', 'title': 'Climate variability and change'}
climate warming,Climate system,{'weight': 1, 'link_text': "Earth's climate", 'title': 'Climate system'}
climate warming,Global surface temperature,{'weight': 1, 'link_text': 'global average temperature', 'title': 'Global surface temperature'}
climate warming,Scientific consensus on climate change,{'weight': 1, 'link_text': 'driven by human activities', 'title': 'Scientific consensus on climate change'}
climate warming,Fossil fuel,{'weight': 1, 'link_text': 'fossil fuel', 'title': 'Fossil fuel'}
climate warming,Industrial Revolution,{'weight': 1, 'link_text': 'Industrial Revolution', 'title': 'Industrial Revolution'}
climate warming,Deforestation and climate change,{'weight': 1, 'link_text': 'deforestation', 'title': 'Deforestation and climate change'}
climate warming,Greenhouse gas emissions from agriculture,{'weight': 1, 'link_text': 'agricultural', 'title': 'Greenhouse gas emissions from agriculture'}
climate warming,Environmental impact of concrete,{'weight': 1, 'link_text': 'industrial', 'title': 'Environmental impact of concrete'}
climate warming,Greenhouse effect,{'weight': 1, 'link_text': 'absorb some of the heat', 'title': 'Greenhouse effect'}
climate warming,Thermal radiation,{'weight': 1, 'link_text': 'radiates', 'title': 'Thermal radiation'}
climate warming,Sunlight,{'weight': 1, 'link_text': 'sunlight', 'title': 'Sunlight'}
climate warming,Carbon dioxide,{'weight': 1, 'link_text': 'Carbon dioxide', 'title': 'Carbon dioxide'}
climate warming,Carbon dioxide in Earth%27s atmosphere,{'weight': 1, 'link_text': 'has grown by about 50%', 'title': "Carbon dioxide in Earth's atmosphere"}
global warming,Climate variability and change,{'weight': 1, 'link_text': 'Climate change in a broader sense', 'title': 'Climate variability and change'}
global warming,Climate system,{'weight': 1, 'link_text': "Earth's climate", 'title': 'Climate system'}
global warming,Global surface temperature,{'weight': 1, 'link_text': 'global average temperature', 'title': 'Global surface temperature'}
global warming,Scientific consensus on climate change,{'weight': 1, 'link_text': 'driven by human activities', 'title': 'Scientific consensus on climate change'}
global warming,Fossil fuel,{'weight': 1, 'link_text': 'fossil fuel', 'title': 'Fossil fuel'}
global warming,Industrial Revolution,{'weight': 1, 'link_text': 'Industrial Revolution', 'title': 'Industrial Revolution'}
global warming,Deforestation and climate change,{'weight': 1, 'link_text': 'deforestation', 'title': 'Deforestation and climate change'}
global warming,Greenhouse gas emissions from agriculture,{'weight': 1, 'link_text': 'agricultural', 'title': 'Greenhouse gas emissions from agriculture'}
global warming,Environmental impact of concrete,{'weight': 1, 'link_text': 'industrial', 'title': 'Environmental impact of concrete'}
global warming,Greenhouse effect,{'weight': 1, 'link_text': 'absorb some of the heat', 'title': 'Greenhouse effect'}
global warming,Thermal radiation,{'weight': 1, 'link_text': 'radiates', 'title': 'Thermal radiation'}
global warming,Sunlight,{'weight': 1, 'link_text': 'sunlight', 'title': 'Sunlight'}
global warming,Carbon dioxide,{'weight': 1, 'link_text': 'Carbon dioxide', 'title': 'Carbon dioxide'}
